ingredients,dish
cumin garlic ghee moong_dal,tarka_dal
chili masoor_dal mustard_seeds tomato,masoor_dal
butter coriander cream paneer saffron tomato yogurt,shahi_paneer
capsicum coriander egg garlic,anda_bhurji
butter chicken ginger tomato turmeric,butter_chicken
beans carrot cumin garam_masala ginger peas tomato,mixed_vegetable
butter coriander egg oil tomato,omelette
peanut poha turmeric,poha
butter chicken oil onion pepper turmeric,chicken_curry
aloo besan ginger mustard_seeds oil pav turmeric,vada_pav
aloo besan bread_crumbs chaat_masala cumin ginger oil,aloo_tikki
asafoetida chili ginger moong_dal oil,moong_dal
garam_masala ghee ginger lauki,lauki_sabzi
mutton pepper yogurt,mutton_curry
cumin ginger palak paneer,palak_paneer
garlic pepper tomato,tomato_soup
butter chili ghee methi wheat_flour,methi_paratha
coriander garlic mushroom oil turmeric,mushroom_masala
coriander egg ginger onion,egg_curry
coconut_milk coriander curry_leaves prawn,prawn_masala
coriander ginger kasuri_methi rajma tomato urad_dal,dal_makhani
chicken coriander oil tomato,chicken_curry
basmati_rice cardamom ghee mint onion,vegetable_biryani
aloo asafoetida chili ginger oil yogurt,dahi_aloo
butter cashew chicken chili ginger onion,butter_chicken
asafoetida coriander masoor_dal onion,masoor_dal
almond cashew milk rice saffron sugar,kheer
coriander ghee ginger kasuri_methi lauki tomato,lauki_sabzi
coriander cumin egg garlic,egg_curry
capsicum egg pepper rice,egg_fried_rice
chicken garam_masala onion,chicken_curry
butter chili corn maggi_noodles masala turmeric,maggi
coconut_milk fish turmeric,fish_curry
bread capsicum carrot chaat_masala pepper,vegetable_sandwich
butter cardamom coriander cream onion paneer,shahi_paneer
aloo chili garlic ginger oil spinach,saag_aloo
butter chicken chili tomato,butter_chicken
cardamom cumin mutton oil onion tomato,mutton_curry
egg ginger rice soy_sauce spring_onion vinegar,egg_fried_rice
moong_dal tomato turmeric,tarka_dal
besan curry_leaves lemon oil yogurt,dhokla
chili cream oil onion tomato,tomato_soup
basmati_rice bay_leaf garam_masala garlic ginger mint,biryani
garam_masala paneer tomato,paneer_tikka_masala
bhindi chili cumin garlic,bhindi_masala
capsicum egg onion pepper tomato turmeric,omelette
basmati_rice chicken cumin ghee onion rice yogurt,chicken_biryani
butter chicken ginger pepper,chicken_curry
basmati_rice cardamom garlic mutton,mutton_biryani
chicken kasuri_methi oil tomato yogurt,chicken_curry
aloo asafoetida garlic ghee ginger mustard_seeds yogurt,dahi_aloo
aloo cumin ghee oil yogurt,dahi_aloo
bread chaat_masala cucumber tomato,vegetable_sandwich
cumin matar oil paneer turmeric,matar_paneer
bay_leaf garlic ghee ginger mutton,mutton_curry
basmati_rice ginger peas saffron turmeric yogurt,vegetable_biryani
asafoetida besan ghee ginger oil turmeric yogurt,kadhi_pakora
coconut_milk ginger oil prawn turmeric,prawn_masala
egg tomato turmeric,egg_curry
aloo amchur bhindi ginger oil,aloo_bhindi
capsicum coriander paneer tomato,paneer_bhurji
curry_leaves moong_dal oil turmeric,tarka_dal
besan lemon mustard_seeds oil sugar yogurt,dhokla
aloo cumin ghee gobi tomato,aloo_gobi
cumin moong_dal oil onion pepper rice,khichdi
aloo garam_masala ghee kasuri_methi palak,aloo_palak
chickpea ginger oil onion turmeric,chana_masala
baingan coriander onion tomato turmeric,baingan_bharta
chili_sauce egg garlic oil rice,egg_fried_rice
aloo coriander garam_masala oil onion spinach,saag_aloo
butter chili palak paneer,palak_paneer
coriander garlic oil prawn,prawn_masala
coriander ghee ginger masoor_dal oil,masoor_dal
cumin ginger rajma urad_dal,dal_makhani
coriander curry_leaves garlic ginger oil prawn,prawn_masala
basmati_rice clove garlic ginger,vegetable_pulao
cumin garlic ginger lauki,lauki_sabzi
aloo amchur bhindi cumin onion,aloo_bhindi
aloo cumin ginger oil yogurt,dahi_aloo
aloo amchur bread chili tomato,aloo_sandwich
aloo amchur cumin maida matar onion,samosa
bhindi garam_masala ginger onion,bhindi_masala
garam_masala oil palak paneer,palak_paneer
basmati_rice cardamom ghee oil pepper,vegetable_pulao
chili egg oil,omelette
chicken oil onion pepper,chicken_curry
basmati_rice bay_leaf cardamom chicken ghee ginger,chicken_pulao
aloo ghee oil spinach turmeric,saag_aloo
chili garlic ginger matar minced_meat onion,keema_matar
butter garlic maggi_noodles masala pepper tomato,maggi
asafoetida coriander garlic masoor_dal,masoor_dal
aloo amchur bhindi coriander garlic ginger,aloo_bhindi
asafoetida chili ghee ginger toor_dal,dal_fry
basmati_rice cardamom cinnamon corn garlic oil onion,vegetable_pulao
garlic kasuri_methi palak paneer,palak_paneer
garam_masala garlic matar minced_meat,keema_matar
chili egg oil onion turmeric,egg_curry
almond cardamom milk raisin rice sugar,kheer
egg garam_masala oil onion turmeric,egg_curry
basmati_rice beans cinnamon oil onion,vegetable_pulao
cumin egg onion tomato,anda_bhurji
garam_masala ghee matar minced_meat oil,keema_matar
cumin garlic ghee moong_dal oil,moong_dal
aloo besan chili ginger pav,vada_pav
mustard_seeds oil onion peanut poha turmeric,poha
chili corn ginger maggi_noodles masala onion turmeric,maggi
curry_leaves fish mustard_seeds oil,fish_curry
ginger oil tomato toor_dal turmeric,dal_fry
butter palak paneer turmeric,palak_paneer
bhindi chili garam_masala ginger tomato,bhindi_masala
coriander egg garam_masala onion tomato,anda_bhurji
aloo coriander garam_masala ginger maida,samosa
aloo besan chili curry_leaves garlic oil pav,vada_pav
butter chili ghee ginger gobi wheat_flour,gobi_paratha
chili cumin garlic ginger rajma tomato urad_dal,dal_makhani
chicken ginger oil onion turmeric,chicken_curry
bread chaat_masala chili onion,vegetable_sandwich
chickpea coriander oil turmeric,chana_masala
chicken garlic onion pepper tomato,chicken_curry
aloo bhindi coriander ginger oil onion,aloo_bhindi
chana_masala_powder chickpea oil onion tomato,chana_masala
basmati_rice cauliflower chili coriander ginger mint yogurt,vegetable_biryani
coriander egg garlic tomato,egg_curry
chickpea coriander garlic onion tomato turmeric,chana_masala
chili garlic lauki oil,lauki_sabzi
coriander egg garam_masala onion,egg_curry
bread capsicum chaat_masala chili,vegetable_sandwich
basmati_rice chili clove mint onion potato,vegetable_biryani
cumin kasuri_methi lauki tomato,lauki_sabzi
egg pepper rice spring_onion,egg_fried_rice
chili garam_masala garlic ginger moong_dal onion,moong_dal
aloo garlic ginger mustard_seeds oil yogurt,dahi_aloo
ajwain aloo butter chili ghee ginger wheat_flour,aloo_paratha
butter coriander paneer tomato,paneer_butter_masala
beans carrot chili garlic ginger onion peas,mixed_vegetable
chili egg ginger onion turmeric,egg_curry
butter coriander garlic pav potato turmeric,pav_bhaji
ajwain coriander ginger gobi wheat_flour,gobi_paratha
aloo butter chili garlic ghee gobi,aloo_gobi
chili oil semolina,upma
chicken cream cumin ghee ginger,korma
basmati_rice chicken cinnamon ginger turmeric yogurt,chicken_pulao
garam_masala paneer yogurt,paneer_tikka_masala
basmati_rice garam_masala ghee mutton yogurt,mutton_biryani
chili coconut_milk ginger oil prawn,prawn_masala
aloo amchur chili garlic methi onion,aloo_methi
coconut_milk coriander fish garlic oil turmeric,fish_curry
coriander ginger oil onion toor_dal,dal_fry
ajwain besan onion paneer,pakora
chicken chili garam_masala ginger onion tomato,chicken_tikka_masala
butter garam_masala kasuri_methi oil paneer,paneer_bhurji
coconut_milk coriander fish oil,fish_curry
chili garlic rajma urad_dal,dal_makhani
beans carrot ginger oil peas tomato turmeric,mixed_vegetable
butter garlic pav potato turmeric,pav_bhaji
butter maggi_noodles masala onion pepper,maggi
bread carrot chili pepper tomato,vegetable_sandwich
amchur chickpea oil,chana_masala
chili lauki oil tomato turmeric,lauki_sabzi
basmati_rice bay_leaf chili garlic ghee mutton,mutton_biryani
amchur besan bhindi chili garlic onion,bhindi_masala
asafoetida chili masoor_dal oil,masoor_dal
basmati_rice garam_masala ginger onion,biryani
aloo coriander maida oil,samosa
basmati_rice carrot garam_masala garlic ghee,vegetable_biryani
chili corn maggi_noodles masala oil tomato turmeric,maggi
aloo besan garlic mustard_seeds oil pav turmeric,vada_pav
aloo amchur garlic methi turmeric,aloo_methi
aloo cumin ghee matar oil,aloo_matar
chicken garam_masala oil onion tomato,chicken_curry
capsicum egg onion pepper rice,egg_fried_rice
aloo coriander cumin matar tomato,aloo_matar
lauki oil turmeric,lauki_sabzi
ajwain ghee methi oil wheat_flour,methi_paratha
garlic mushroom turmeric,mushroom_masala
garam_masala ginger kasuri_methi mushroom oil tomato,mushroom_masala
chili_sauce garlic onion rice,vegetable_fried_rice
aloo amchur bread butter cheese,aloo_sandwich
chana_masala_powder chickpea garlic,chana_masala
chili oil rice urad_dal,dosa
butter capsicum garlic ginger pav pav_bhaji_masala potato,pav_bhaji
chili cumin onion peanut poha,poha
cream garam_masala garlic ginger paneer saffron yogurt,shahi_paneer
chicken coriander ginger,chicken_curry
cardamom coriander cream ginger paneer tomato,shahi_paneer
chili garam_masala ghee ginger lauki onion,lauki_sabzi
cashew chicken cumin garlic ginger,korma
basmati_rice chili coriander ghee mutton onion,mutton_biryani
cumin ghee kasuri_methi toor_dal,dal_tadka
capsicum egg garlic oil pepper rice soy_sauce,egg_fried_rice
coriander egg garam_masala garlic ginger onion,egg_curry
basmati_rice bay_leaf chicken ghee yogurt,chicken_pulao
chicken garam_masala onion pepper,chicken_curry
aloo asafoetida ghee yogurt,dahi_aloo
ghee masoor_dal mustard_seeds tomato,masoor_dal
aloo garlic ginger gobi onion turmeric,aloo_gobi
aloo chili ghee ginger wheat_flour,aloo_paratha
aloo besan bread_crumbs coriander,aloo_tikki
butter garam_masala kasuri_methi paneer tomato,paneer_butter_masala
butter cashew chicken chili coriander cream garlic,butter_chicken
corn pepper rice,vegetable_fried_rice
bay_leaf chicken chili garlic tomato,chicken_curry
coriander garlic kasuri_methi rajma urad_dal,dal_makhani
aloo chili cumin ghee ginger wheat_flour,aloo_paratha
aloo coriander cumin ginger gobi onion tomato,aloo_gobi
ajwain aloo chili ginger maida onion,samosa
coriander ginger onion paneer tomato,paneer_tikka_masala
curry_leaves ginger onion semolina,upma
chili egg garlic tomato turmeric,anda_bhurji
amchur chickpea ginger maida tomato,chole_bhature
chili garlic kasuri_methi mushroom,mushroom_masala
cumin garlic ghee lauki oil,lauki_sabzi
besan chili paneer potato,pakora
chili ginger masoor_dal mustard_seeds oil tomato,masoor_dal
butter egg pepper,omelette
garam_masala garlic matar onion paneer tomato,matar_paneer
aloo cumin garam_masala ginger spinach,saag_aloo
ajwain aloo ginger maida oil onion,samosa
butter cumin garlic ginger pav pav_bhaji_masala potato,pav_bhaji
aloo amchur coriander ghee wheat_flour,aloo_paratha
chicken chili coriander tomato,chicken_curry
cumin ghee moong_dal rice turmeric,khichdi
coriander cumin garlic ghee moong_dal,moong_dal
cumin garlic ginger moong_dal oil rice turmeric,khichdi
butter chili onion pav potato,pav_bhaji
chicken garlic onion tomato turmeric,chicken_curry
ghee moong_dal oil turmeric,moong_dal
chili garam_masala garlic ginger matar minced_meat onion,keema_matar
aloo coriander ginger matar turmeric,aloo_matar
cashew chili cream garam_masala onion paneer,shahi_paneer
butter chili egg oil pepper,omelette
butter cream garlic paneer saffron,shahi_paneer
asafoetida besan ghee oil yogurt,kadhi_pakora
cumin garlic ginger moong_dal turmeric,tarka_dal
coriander garlic ginger masoor_dal onion,masoor_dal
basmati_rice chicken cumin ginger onion rice yogurt,chicken_biryani
aloo chili garlic ghee methi oil,aloo_methi
aloo besan chili ginger mustard_seeds oil pav,vada_pav
chili oil prawn,prawn_masala
chili egg garam_masala garlic onion,anda_bhurji
amchur chickpea coriander garlic onion tomato,chana_masala
ajwain besan cauliflower chili onion paneer,pakora
butter methi oil turmeric wheat_flour yogurt,methi_paratha
coriander garam_masala garlic ginger lauki tomato,lauki_sabzi
basmati_rice cumin ghee ginger turmeric yogurt,biryani
cumin moong_dal oil,tarka_dal
aloo coriander garam_masala ghee spinach,saag_aloo
chili ghee ginger paneer wheat_flour,paneer_paratha
garam_masala matar oil paneer tomato,matar_paneer
curry_leaves fish oil turmeric,fish_curry
aloo besan curry_leaves ginger mustard_seeds pav,vada_pav
aloo asafoetida ghee ginger oil yogurt,dahi_aloo
besan chili oil turmeric yogurt,dhokla
aloo bread cheese chili coriander onion,aloo_sandwich
aloo amchur bread cheese,aloo_sandwich
chili garam_masala garlic mushroom onion tomato,mushroom_masala
capsicum chili_sauce corn onion rice,vegetable_fried_rice
chicken chili onion,chicken_curry
ajwain aloo amchur butter ghee wheat_flour,aloo_paratha
coriander ginger moong_dal,moong_dal
besan coriander oil,pakora
asafoetida chili garlic ghee masoor_dal oil,masoor_dal
aloo besan chili garlic ginger pav,vada_pav
aloo ginger mustard_seeds yogurt,dahi_aloo
carrot mustard_seeds onion semolina,upma
besan mustard_seeds onion yogurt,kadhi_pakora
butter chili cumin garlic oil tomato,tomato_soup
aloo besan chili oil,aloo_tikki
coriander ghee onion toor_dal,dal_fry
aloo besan chili ginger oil pav,vada_pav
asafoetida besan ghee ginger oil yogurt,kadhi_pakora
butter coriander egg oil,anda_bhurji
capsicum chili_sauce egg rice,egg_fried_rice
basmati_rice bay_leaf garlic onion saffron yogurt,biryani
aloo bread chaat_masala chili onion tomato,aloo_sandwich
oil peanut poha potato turmeric,poha
besan cauliflower coriander onion paneer turmeric,pakora
garam_masala kasuri_methi paneer yogurt,paneer_tikka_masala
butter coriander egg onion,omelette
egg garlic ginger rice soy_sauce spring_onion,egg_fried_rice
almond cardamom milk rice saffron sugar,kheer
asafoetida fennel maida moong_dal,kachori
aloo amchur bread cumin onion,aloo_sandwich
aloo cumin garlic ghee oil yogurt,dahi_aloo
matar minced_meat oil turmeric,keema_matar
chicken onion tomato turmeric,chicken_tikka_masala
cumin ghee onion tomato toor_dal,dal_fry
baingan coriander oil turmeric,baingan_bharta
ginger mutton oil onion turmeric,mutton_curry
ajwain aloo garlic ginger gobi kasuri_methi oil,aloo_gobi
mustard_seeds peanut poha,poha
coriander ginger mushroom oil,mushroom_masala
basmati_rice chicken ghee turmeric yogurt,chicken_pulao
butter chili cumin ghee methi wheat_flour yogurt,methi_paratha
cumin garlic toor_dal turmeric,dal_fry
aloo amchur cumin matar oil,aloo_matar
cumin garlic ginger kasuri_methi mushroom,mushroom_masala
basmati_rice chicken garam_masala ghee rice,chicken_biryani
capsicum egg oil rice spring_onion vinegar,egg_fried_rice
butter capsicum coriander onion pav potato,pav_bhaji
chili garlic kasuri_methi lauki,lauki_sabzi
aloo bhindi onion turmeric,aloo_bhindi
aloo coriander cumin ghee ginger oil spinach,saag_aloo
aloo bread cheese chili coriander onion tomato,aloo_sandwich
aloo besan chaat_masala chili ginger onion,aloo_tikki
aloo chili cumin ginger onion spinach,saag_aloo
basmati_rice bay_leaf chicken garam_masala garlic rice yogurt,chicken_biryani
garam_masala garlic mutton onion,mutton_curry
pepper rice soy_sauce spring_onion,vegetable_fried_rice
ajwain aloo amchur ghee gobi oil,aloo_gobi
cumin ginger moong_dal oil,tarka_dal
chili matar minced_meat onion turmeric,keema_matar
cumin ghee ginger moong_dal rice turmeric,khichdi
aloo coriander methi onion,aloo_methi
aloo amchur matar tomato turmeric,aloo_matar
aloo amchur garam_masala ginger onion wheat_flour,aloo_paratha
beans carrot coriander garam_masala ghee oil peas,mixed_vegetable
besan chili paneer potato turmeric,pakora
cream kasuri_methi palak paneer,palak_paneer
chickpea chili cumin ghee maida tomato,chole_bhature
garam_masala garlic mushroom,mushroom_masala
butter capsicum egg onion turmeric,omelette
butter coriander garam_masala ginger paneer tomato,paneer_butter_masala
butter maggi_noodles masala oil onion turmeric,maggi
coriander cumin ginger maida moong_dal oil,kachori
aloo amchur besan bread_crumbs ginger onion,aloo_tikki
aloo garam_masala onion wheat_flour,aloo_paratha
butter capsicum coriander egg pepper tomato,omelette
aloo garam_masala ghee gobi oil,aloo_gobi
aloo besan curry_leaves garlic oil pav turmeric,vada_pav
ajwain aloo amchur butter ginger wheat_flour,aloo_paratha
coriander ghee paneer wheat_flour,paneer_paratha
cumin ghee methi oil wheat_flour,methi_paratha
aloo butter coriander ghee onion palak,aloo_palak
butter capsicum coriander onion pav potato tomato,pav_bhaji
curry_leaves mustard_seeds onion peanut poha,poha
aloo cumin ghee ginger onion wheat_flour,aloo_paratha
kasuri_methi paneer tomato,paneer_tikka_masala
chili garam_masala garlic matar paneer,matar_paneer
coriander cream garlic onion paneer,shahi_paneer
chili garam_masala garlic ghee moong_dal onion,moong_dal
aloo coriander garlic oil spinach turmeric,saag_aloo
curry_leaves ghee ginger moong_dal tomato,tarka_dal
cashew mustard_seeds oil semolina urad_dal,upma
aloo butter garam_masala ghee onion palak turmeric,aloo_palak
chicken chili cumin ghee ginger onion,korma
chili ginger mushroom oil onion,mushroom_masala
butter chicken chili cream cumin garlic,butter_chicken
garam_masala garlic matar paneer,matar_paneer
aloo amchur butter ginger matar turmeric,aloo_matar
basmati_rice bay_leaf chicken ginger rice yogurt,chicken_biryani
chickpea cumin garlic tomato turmeric,chana_masala
coriander garlic matar paneer tomato,matar_paneer
butter capsicum coriander onion paneer,paneer_bhurji
bay_leaf cardamom mutton tomato,mutton_curry
aloo besan bread_crumbs chili,aloo_tikki
aloo garam_masala ghee gobi,aloo_gobi
capsicum cumin ginger paneer,paneer_bhurji
aloo coriander cumin ghee gobi,aloo_gobi
chili garlic masoor_dal mustard_seeds oil,masoor_dal
chili ghee matar minced_meat oil tomato,keema_matar
aloo besan bread_crumbs chili coriander ginger onion,aloo_tikki
carrot chili onion tomato yogurt,raita
aloo garam_masala garlic ghee palak turmeric,aloo_palak
basmati_rice cardamom oil peas,vegetable_pulao
basmati_rice cardamom ghee mint onion turmeric,biryani
butter cream cumin onion paneer,paneer_tikka_masala
asafoetida ginger toor_dal,dal_fry
aloo amchur bread cheese coriander tomato,aloo_sandwich
butter capsicum maggi_noodles masala onion pepper,maggi
aloo cumin garlic yogurt,dahi_aloo
beans carrot coriander onion peas tomato turmeric,mixed_vegetable
baingan chili coriander oil tomato,baingan_bharta
chili fish tomato,fish_curry
chili coconut_milk oil prawn,prawn_masala
chili coriander paneer tomato,paneer_tikka_masala
aloo amchur butter cumin ghee ginger wheat_flour,aloo_paratha
chili garlic kasuri_methi paneer tomato,paneer_butter_masala
basmati_rice clove garlic ghee ginger mutton saffron,mutton_biryani
chili coconut_milk curry_leaves prawn,prawn_masala
carrot rice spring_onion vinegar,vegetable_fried_rice
aloo bhindi chili coriander garlic ginger,aloo_bhindi
amchur asafoetida chili ginger maida moong_dal oil,kachori
bhindi coriander tomato,bhindi_masala
basmati_rice chicken cumin oil turmeric,chicken_pulao
chili ghee mutton onion yogurt,mutton_curry
coriander ginger maida moong_dal,kachori
capsicum egg ginger pepper rice spring_onion,egg_fried_rice
ajwain aloo amchur maida matar,samosa
chili cream rajma tomato urad_dal,dal_makhani
basmati_rice chicken cinnamon cumin ginger mint rice,chicken_biryani
oil onion poha potato turmeric,poha
aloo amchur ginger maida matar oil,samosa
coriander cream rajma urad_dal,dal_makhani
butter cumin methi oil turmeric wheat_flour,methi_paratha
cumin garlic ginger tomato toor_dal turmeric,dal_tadka
carrot chaat_masala tomato yogurt,raita
aloo besan chili coriander onion,aloo_tikki
beans chili curry_leaves ghee oil onion semolina,upma
cumin egg garam_masala garlic ginger tomato,anda_bhurji
coriander egg tomato,omelette
chicken coriander garlic tomato turmeric,chicken_curry
aloo asafoetida cumin garlic ginger oil yogurt,dahi_aloo
besan chili coriander potato,pakora
chili cumin ginger oil onion prawn,prawn_masala
butter cashew chili cream onion paneer,shahi_paneer
chili coriander egg tomato,anda_bhurji
basmati_rice ghee ginger saffron turmeric,biryani
chili garlic onion toor_dal turmeric,dal_fry
aloo butter cream kasuri_methi onion palak,aloo_palak
cumin egg garlic ginger oil,egg_curry
basmati_rice chicken cinnamon ghee ginger onion turmeric,chicken_pulao
garam_masala garlic moong_dal oil onion rice,khichdi
coriander mutton onion tomato turmeric,mutton_curry
anardana chickpea garam_masala garlic maida onion,chole_bhature
basmati_rice garam_masala onion,biryani
bay_leaf chili garlic mutton,mutton_curry
cream garam_masala onion paneer turmeric,paneer_tikka_masala
cashew coriander cream garam_masala paneer tomato,paneer_butter_masala
chana_masala_powder chickpea tomato,chana_masala
aloo coriander ghee oil spinach,saag_aloo
amchur chickpea oil onion turmeric,chana_masala
aloo amchur bhindi chili garlic oil,aloo_bhindi
capsicum chili oil onion semolina,upma
cumin garam_masala matar minced_meat oil,keema_matar
chicken cumin garlic kasuri_methi oil,chicken_curry
butter cumin methi oil turmeric wheat_flour yogurt,methi_paratha
aloo coriander maida matar,samosa
aloo bread butter chaat_masala onion tomato,aloo_sandwich
chickpea coriander onion tomato,chana_masala
chicken chili cumin garlic ginger,korma
amchur chickpea coriander garlic maida oil yogurt,chole_bhature
butter cashew chicken chili cream ginger kasuri_methi,butter_chicken
garlic kasuri_methi toor_dal,dal_fry
kasuri_methi mushroom onion,mushroom_masala
aloo besan chaat_masala cumin oil,aloo_tikki
besan chili oil sugar yogurt,dhokla
basmati_rice chili mutton onion,mutton_biryani
aloo chili oil onion spinach,saag_aloo
chicken garam_masala ginger onion pepper,chicken_curry
chickpea coriander garam_masala garlic ginger oil,chana_masala
butter garam_masala ghee ginger gobi wheat_flour,gobi_paratha
chili ghee oil onion toor_dal,dal_tadka
chili cumin egg garlic tomato,anda_bhurji
chicken coriander oil yogurt,chicken_curry
cumin oil palak paneer,palak_paneer
coriander matar onion paneer turmeric,matar_paneer
ajwain bhindi cumin ginger onion tomato,bhindi_masala
amchur chickpea tomato,chana_masala
ginger mustard_seeds oil semolina urad_dal,upma
chili cream cumin paneer yogurt,paneer_tikka_masala
curry_leaves moong_dal oil,tarka_dal
capsicum coriander egg onion,omelette
aloo amchur butter wheat_flour,aloo_paratha
asafoetida cashew ginger semolina urad_dal,upma
aloo amchur bhindi garlic,aloo_bhindi
aloo garam_masala garlic ghee kasuri_methi oil palak,aloo_palak
basmati_rice cinnamon garlic ghee ginger mutton,mutton_biryani
chili ghee masoor_dal,masoor_dal
basmati_rice chili ghee mint peas,vegetable_biryani
coriander ghee ginger matar oil paneer,matar_paneer
capsicum chili egg onion turmeric,omelette
basmati_rice coriander ghee ginger onion,biryani
chicken coriander cream kasuri_methi tomato,chicken_tikka_masala
aloo bhindi chili ginger,aloo_bhindi
basmati_rice cardamom cinnamon garlic,vegetable_pulao
basmati_rice chicken cinnamon garlic onion rice,chicken_biryani
cumin ginger paneer,paneer_bhurji
ginger kasuri_methi toor_dal,dal_tadka
aloo bhindi coriander ginger turmeric,aloo_bhindi
chana_masala_powder chickpea cumin onion tomato,chana_masala
cumin kasuri_methi paneer yogurt,paneer_tikka_masala
capsicum chili_sauce garlic rice soy_sauce,vegetable_fried_rice
basmati_rice cumin ghee onion,vegetable_pulao
chicken coriander yogurt,chicken_curry
chili garam_masala ghee paneer wheat_flour,paneer_paratha
aloo besan curry_leaves garlic ginger mustard_seeds pav,vada_pav
chickpea chili maida oil,chole_bhature
aloo coriander ginger palak,aloo_palak
coriander cumin garlic mutton onion yogurt,mutton_curry
aloo amchur butter coriander ghee onion wheat_flour,aloo_paratha
aloo chili cumin ginger maida,samosa
butter capsicum chili coriander pav potato tomato,pav_bhaji
aloo bread butter cumin onion,aloo_sandwich
capsicum chili ginger oil semolina,upma
aloo cumin ginger spinach,saag_aloo
coriander cream garlic rajma urad_dal,dal_makhani
coriander ghee moong_dal oil,moong_dal
aloo amchur cumin ghee matar,aloo_matar
basmati_rice cardamom mint turmeric,biryani
chili coriander garlic tomato,tomato_soup
chili curry_leaves ginger moong_dal,tarka_dal
garlic ghee moong_dal onion rice turmeric,khichdi
besan bhindi cumin garlic oil,bhindi_masala
besan chili mustard_seeds oil yogurt,dhokla
chili_sauce oil onion rice soy_sauce,vegetable_fried_rice
beans garlic pepper rice spring_onion vinegar,vegetable_fried_rice
capsicum chili_sauce rice,vegetable_fried_rice
coriander ginger toor_dal,dal_tadka
aloo butter coriander garlic gobi kasuri_methi,aloo_gobi
coriander garlic ginger masoor_dal turmeric,masoor_dal
capsicum garlic kasuri_methi paneer,paneer_bhurji
garam_masala garlic matar minced_meat turmeric,keema_matar
aloo asafoetida chili ghee ginger oil yogurt,dahi_aloo
ghee moong_dal oil tomato turmeric,tarka_dal
chickpea chili cumin garlic ghee maida tomato,chole_bhature
chili coriander garlic paneer tomato,paneer_tikka_masala
besan coriander onion,pakora
coriander lauki oil,lauki_sabzi
amchur chana_masala_powder chickpea ginger onion,chana_masala
garam_masala ghee ginger toor_dal,dal_fry
aloo amchur bread butter cheese onion,aloo_sandwich
asafoetida kasuri_methi oil onion toor_dal,dal_tadka
curry_leaves garam_masala prawn tomato,prawn_masala
coriander egg garlic oil tomato,egg_curry
basmati_rice beans cardamom ghee ginger oil pepper,vegetable_pulao
bread chaat_masala cucumber pepper,vegetable_sandwich
chicken cumin ginger tomato turmeric,chicken_tikka_masala
egg garam_masala garlic tomato turmeric,egg_curry
chili egg ginger tomato turmeric,egg_curry
aloo coriander gobi onion turmeric,aloo_gobi
butter cumin ghee methi oil wheat_flour,methi_paratha
basmati_rice ghee mint saffron,biryani
basmati_rice chili clove ghee mutton,mutton_biryani
basmati_rice cumin ghee onion yogurt,vegetable_biryani
besan chili sugar turmeric yogurt,dhokla
butter chili kasuri_methi paneer tomato,paneer_butter_masala
boondi carrot coriander cucumber cumin yogurt,raita
chili egg garam_masala tomato,egg_curry
cumin oil prawn tomato,prawn_masala
chili cumin garlic matar minced_meat oil tomato,keema_matar
bhindi cumin garam_masala garlic onion tomato,bhindi_masala
coriander cumin garlic ginger onion rajma urad_dal,dal_makhani
butter chili cumin gobi onion wheat_flour,gobi_paratha
asafoetida chili oil peas semolina,upma
aloo cumin ghee wheat_flour,aloo_paratha
carrot chaat_masala chili onion tomato yogurt,raita
cumin garlic ghee ginger moong_dal,moong_dal
butter coriander cumin ginger pav potato,pav_bhaji
cumin oil toor_dal,dal_fry
chicken chili ghee,korma
fenugreek mustard_seeds rice urad_dal,dosa
chili ghee toor_dal,dal_fry
butter chicken chili cream garam_masala tomato yogurt,chicken_tikka_masala
aloo bread chili cumin onion tomato,aloo_sandwich
basmati_rice chicken cumin onion rice,chicken_biryani
ajwain butter ghee methi wheat_flour yogurt,methi_paratha
aloo coriander oil yogurt,dahi_aloo
amchur chickpea garlic ghee maida,chole_bhature
garam_masala prawn tomato,prawn_masala
chili ghee moong_dal oil,moong_dal
chili onion paneer tomato,paneer_tikka_masala
cumin garlic onion paneer tomato turmeric,paneer_bhurji
butter ginger kasuri_methi rajma urad_dal,dal_makhani
chili garlic ginger maggi_noodles masala pepper tomato,maggi
cumin maida moong_dal oil,kachori
asafoetida curry_leaves ghee moong_dal,tarka_dal
beans carrot chili garlic oil onion peas,mixed_vegetable
chickpea coriander garlic,chana_masala
cashew chicken cream cumin garam_masala onion,korma
baingan chili oil turmeric,baingan_bharta
butter carom_seeds cumin ghee methi wheat_flour yogurt,methi_paratha
chili fenugreek mustard_seeds oil rice urad_dal,dosa
aloo cumin ghee onion wheat_flour,aloo_paratha
aloo cream garam_masala garlic ginger palak turmeric,aloo_palak
basmati_rice cardamom garlic ginger mint mutton,mutton_biryani
garam_masala garlic toor_dal,dal_fry
coriander garam_masala matar minced_meat tomato,keema_matar
butter chicken cream kasuri_methi tomato,butter_chicken
aloo amchur ginger methi onion turmeric,aloo_methi
aloo cumin gobi onion tomato turmeric,aloo_gobi
aloo amchur bhindi cumin garlic ginger oil,aloo_bhindi
cumin egg ginger onion turmeric,egg_curry
curry_leaves garam_masala ginger oil prawn tomato,prawn_masala
chili_sauce onion pepper rice,vegetable_fried_rice
coconut_milk coriander cumin fish,fish_curry
boondi chili cucumber tomato yogurt,raita
carrot garlic onion rice soy_sauce,vegetable_fried_rice
